239091220161012201614
036AUD001       5,302401       5,318356       5,334311
124CAD001       5,373318       5,389486       5,405654
203CZK001       0,277981       0,278817       0,279653
208DKK001       1,010147       1,013187       1,016227
348HUF100       2,390231       2,397423       2,404615
392JPY100       6,179448       6,198042       6,216636
578NOK001       0,837800       0,840321       0,842842
752SEK001       0,775236       0,777569       0,779902
756CHF001       6,964840       6,985797       7,006754
826GBP001       8,931256       8,958130       8,985004
840USD001       7,081029       7,102336       7,123643
978EUR001       7,512972       7,535579       7,558186
985PLN001       1,692415       1,697508       1,702601
